km
33.263
106.16
4.5835
46.375
73.793
71.738
238.21
128.42
18.183
45.58
58.291
16.726
51.168
26.228
65.719
100.05
161.83
264.11
52.298
18.042
50.274
29.289
71.134
24.634
38.236
35.766
267.57
10.559
20.884
63.024
54.141
67.344
96.083
17.052
33.065
74.942
6.7153
256.33
99.324
36.724
224.57
251.05
41.407
59.741
92.608
97.302
55.681
71.122
159.56
154.51
75.773
82.917
31.891
44.333
30.291
68.392
59.437
195.53
263.55
84.55
71.733
183.82
44.87
0.82045
27.204
23.538
81.274
5.8232
101.28
148.05
269.08
53.788
40.151
80.436
19.418
158.32
58.481
40.413
81.631
38.864
35.419
102.45
77.67
5.5577
23.582
99.282
19.026
74.684
52.826
88.601
44.725
17.923
84.321
61.619
67.988
63.032
71.955
149.66
80.595
28.56
27.697
160.85
47.769
56.176
48.074
73.107
173
77.257
66.43
33.396
8.8299
79.398
39.144
3.297
64.363
25.505
162.39
80.244
50.938
50.762
90.339
47.916
105.09
81.335
68.964
264.3
72.257
160.81
56.997
94.947
66.482
46.911
38.182
97.356
33.876
94.326
74.844
37.768
254.71
56.989
28.656
46.336
35.516
52.856
69.939
158.49
150.37
79.868
33.499
184.84
48.642
76.734
24.319
105.66
30.841
55.751
161.94
140.25
69.16
59.509
48.951
160.01
145.67
122.62
17.732
223.46
19.794
84.838
4.4151
96.976
43.392
79.996
64.271
50.438
18.16
262
20.053
89.098
66.143
13.695
98.121
70.294
86.295
105.38
195.1
100
26.058
55.135
5.45
107.68
46.896
90.321
66.159
89.353
52.909
87.531
77.171
69.125
171.42
48.331
61.719
218.75
73.614
76.031
99.051
143.08
75.162
9.8945
10.078
90.844
245.41
46.136
142
68.987
74.547
25.136
35.757
68.24
65.409
163.95
63.661
54.908
82.607
252.73
63.598
138.53
100.55
81.991
45.39
94.834
56.678
30.142
73.177
53.559
217.69
35.731
163.78
82.233
75.213
133.95
87.869
76.856
82.936
38.098
72.064
66.526
51.086
20.582
115.79
55.827
35.405
72.6
55.692
104.73
53.797
8.5362
99.971
61.54
1.3017
43.729
15.624
40.83
34.156
61.024
39.268
63.78
67.453
99.538
32.725
48.977
75.735
36.542
91.654
17.785
150.49
18.266
104.56
77.343
77.105
75.697
5.3876
120.38
28.946
147.84
60.926
6.9574
70.476
102.67
93.757
68.676
66.112
66.371
208.09
90.149
38.166
146.86
12.938
63.934
216.1
30.467
25.215
30.684
142.72
12.815
23.31
71.666
68.76
75.602
106.66
38.561
170.09
243.12
69.595
54.486
261.55
63.944
103.83
39.074
92.395
97.029
92.389
41.557
56.848
80.495
74.135
4.783
17.762
40.997
55.403
62.251
22.793
94.111
10.491
27.327
46.341
34.906
60.447
94.842
71.716
36.345
27.518
33.933
212.99
155.57
39.852
62.861
182.69
100.62
39.46
19.938
67.838
160.49
12.278
71.437
81.687
88.924
69.153
53.911
66.374
42.06
102.3
8.7801
217.47
27.298
7.4744
35.269
80.374
43.605
73.516
28.924
65.307
32.81
134.57
60.776
208.28
99.031
37.782
18.448
59.06
39.415
71.581
96.719
48.081
61.89
90.77
104.59
91.022
29.584
41.179
48.762
88.474
53.004
72.742
19.582
43.845
47.65
122.63
46.389
73.669
29.185
18.005
88.418
36.133
3.5336
19.634
138.37
39.561
36.93
75.732
14.034
157.51
37.049
89.134
19.883
29.144
148.78
37.917
45.769
83.132
31.721
222.66
57.557
205.87
35.226
74.964
23.51
84.85
61.753
41.453
73.732
97.172
124.28
10.018
103.21
75.671
0.69234
58.447
77.224
207.43
68.023
29.313
74.357
55.761
59.765
145.85
155.64
92.971
49.676
43.844
38.677
71.349
30.952
75.288
41.579
69.138
16.82
105.03
84.091
56.254
118.52
95.599
98.437
142.3
99.697
13.921
52.029
236.93
28.682
161.49
6.3734
67.04
161.48
104.6
40.569
41.856
79.309
59.467
67.658
181.92
178.57
66.725
89.228
80.586
12.514
29.738
35.297
148.8
5.9188
80.041
101.89
146
12.209
86.589
13.14
71.576
47.915
13.451
32.425
73.654
14.995
33.12
43.866
103.39
51.247
1.9844
101.08
92.06
57.604
54.34
179.78
40.666
97.491
61.001
206.49
5.6879
84.255
48.115
157.87
63.437
34.104
158.85
66.07
82.181
69.441
17.256
78.138
54.653
80.901
61.285
82.794
33.574
67.726
261.97
267.08
48.61
1.0829
230.04
172.99
50.705
40.754
52.799
82.381
0.99013
39.405
148.2
219.61
63.394
111.14
181.99
196.59
30.277
24.544
28.841
105.1
138.63
31.051
38.441
32.332
76.197
132.3
56.511
164.39
3.5523
64.571
26.901
37.554
224.54
135.24
250.3
44.555
81.936
187.59
55.581
43.244
260.99
34.402
45.688
57.409
71.663
27.638
43.251
213.46
42.665
65.141
118.41
106.79
147.49
198.66
28.57
68.727
4.9172
41.837
15.406
77.564
38.815
143.16
51.348
44.204
42.317
23.72
37.719
90.579
54.252
77.175
59.454
42.725
85.17
52.058
18.617
99.583
2.5353
90.772
37.149
71.177
97.391
53.149
77.812
66.722
21.322
145.13
4.5257
94.7
96.736
46.913
147.1
86.004
16.682
36.384
140.44
4.8864
67.404
79.334
100.28
76.675
140.41
105.51
64.271
3.7706
81.743
1.9494
23.443
79.294
75.293
153.7
50.874
10.697
158.37
43.413
137.95
43.611
89.558
74.287
201.13
21.753
93.657
79.194
99.961
103.24
97.017
57.833
96.438
94.167
43.549
92.622
155.57
19.327
49.304
